# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
16427.8000 A1103 20 4 398.8000 Avenue_20 Street_5 293 N Avenue_20->Avenue_16->Street_10->Street_3->Street_5
16471.7000 A1131 20 2 39.7000 Street_3 Street_7 299 N Street_3->Street_6->Street_7
16528.6000 A1132 20 2 77.6000 Avenue_12 Street_2 298 N Avenue_12->Street_3->Street_2
16596.0000 A1123 20 2 287.0000 Avenue_18 Avenue_12 295 N Avenue_18->Avenue_20->Avenue_12
16610.1000 A1142 20 2 19.1000 Street_4 Street_9 299 N Street_4->Street_1->Street_9
16691.5000 A1141 20 2 119.5000 Street_7 Street_10 298 N Street_7->Street_1->Street_10
16734.5000 A1146 20 2 87.5000 DENVpatients_0 Street_3 298 N DENVpatients_0->Street_8->Street_3
16891.6000 A1153 20 1 152.6000 Avenue_17 Avenue_14 297 N Avenue_17->Avenue_14
16897.9000 A1150 20 2 197.9000 Street_10 Avenue_19 296 N Street_10->Avenue_15->Avenue_19
16919.6000 A1148 20 1 242.6000 Avenue_12 Avenue_18 295 N Avenue_12->Avenue_18
17012.2000 A1161 20 3 140.2000 Avenue_16 Street_7 297 N Avenue_16->Street_10->Street_5->Street_7
17041.1000 A1174 20 1 0.1000 Avenue_20 Avenue_11 299 N Avenue_20->Avenue_11
17049.5000 A1144 20 3 428.5000 Avenue_18 Street_8 292 N Avenue_18->Street_9->Street_2->Street_8
17095.2000 A1172 20 1 84.2000 Street_9 DENVpatients_0 298 N Street_9->DENVpatients_0
17157.9000 A1173 20 2 131.9000 Avenue_14 Avenue_17 297 N Avenue_14->Avenue_11->Avenue_17
17319.9000 A1169 20 4 345.9000 Street_3 Avenue_14 294 N Street_3->Avenue_18->Avenue_19->Avenue_13->Avenue_14
17324.4000 A1186 20 1 99.4000 Street_3 Street_5 298 N Street_3->Street_5
17424.5000 A1199 20 1 11.5000 Avenue_16 Avenue_13 299 N Avenue_16->Avenue_13
17560.2000 A1197 20 1 182.2000 Avenue_20 Avenue_18 296 N Avenue_20->Avenue_18
17652.8000 A1202 20 1 202.8000 Street_2 Street_5 296 N Street_2->Street_5
17750.6000 A1222 20 2 10.6000 Street_7 Street_9 299 N Street_7->Street_10->Street_9
17764.3000 A1219 20 1 67.3000 Street_5 Street_6 298 N Street_5->Street_6
17896.0000 A1232 20 1 26.0000 Street_10 Street_9 299 N Street_10->Street_9
18066.5000 A1246 20 1 0.5000 Street_9 Street_10 299 N Street_9->Street_10
18097.7000 A1245 20 2 50.7000 Street_10 Street_6 299 N Street_10->Street_4->Street_6
18208.2000 A1255 20 2 17.2000 Street_7 Street_2 299 N Street_7->Street_10->Street_2
18214.1000 A1226 20 4 420.1000 Street_8 Avenue_20 292 N Street_8->Street_6->Avenue_11->Avenue_15->Avenue_20
18244.0000 A1248 20 4 141.0000 Street_1 Street_2 297 N Street_1->Street_6->Street_10->Street_3->Street_2
18251.4000 A1254 20 3 74.4000 Avenue_20 Street_3 298 N Avenue_20->Street_9->Street_5->Street_3
18353.3000 A1259 20 1 113.3000 Avenue_18 Street_7 298 N Avenue_18->Street_7
18418.1000 A1272 20 1 0.1000 Avenue_12 Avenue_19 299 N Avenue_12->Avenue_19
18440.4000 A1260 20 1 184.4000 Street_5 Street_10 296 N Street_5->Street_10
18498.7000 A1266 20 1 159.7000 Street_2 Street_6 297 N Street_2->Street_6
18586.9000 A1211 20 2 1004.9000 Avenue_19 Street_7 283 N Avenue_19->Avenue_16->Street_7
18619.5000 A1270 20 1 228.5000 Avenue_18 Avenue_12 296 N Avenue_18->Avenue_12
18824.2000 A1283 20 3 254.2000 DENVpatients_0 Street_1 295 N DENVpatients_0->Street_10->Street_6->Street_1
18926.1000 A1300 20 1 121.1000 Street_10 Street_2 297 N Street_10->Street_2
19061.1000 A1312 20 2 81.1000 Avenue_15 Street_10 298 N Avenue_15->Street_6->Street_10
19150.7000 A1294 20 3 417.7000 Street_2 Avenue_12 293 N Street_2->Avenue_13->Avenue_19->Avenue_12
19181.0000 A1284 20 4 601.0000 Avenue_17 Street_9 289 N Avenue_17->Avenue_20->Avenue_16->Street_8->Street_9
19221.2000 A1313 20 1 225.2000 Street_7 Street_2 296 N Street_7->Street_2
19343.2000 A1320 20 2 238.2000 DENVpatients_0 Street_7 296 N DENVpatients_0->Street_1->Street_7
19527.5000 A1345 20 2 76.5000 Street_4 Street_9 298 N Street_4->Street_2->Street_9
19574.8000 A1328 20 3 355.8000 Street_6 Avenue_11 294 N Street_6->Street_3->Avenue_12->Avenue_11
19624.7000 A1353 20 1 53.7000 Street_9 Street_6 299 N Street_9->Street_6
19824.9000 A1350 20 1 300.9000 Avenue_20 Avenue_16 294 N Avenue_20->Avenue_16
19889.4000 A1355 20 2 286.4000 Street_8 Street_5 295 N Street_8->Street_6->Street_5
20032.2000 A1370 20 3 224.2000 DENVpatients_0 Street_9 296 N DENVpatients_0->Street_3->Street_5->Street_9
20053.2000 A1382 20 2 72.2000 Street_1 Street_5 298 N Street_1->Street_2->Street_5
20074.7000 A1318 20 1 997.7000 Avenue_17 Avenue_13 283 N Avenue_17->Avenue_13
20103.3000 A1379 20 1 168.3000 Avenue_15 Avenue_13 297 N Avenue_15->Avenue_13
20391.3000 A1409 20 1 32.3000 Street_10 Street_9 299 N Street_10->Street_9
20401.9000 A1395 20 1 246.9000 Street_5 Street_2 295 N Street_5->Street_2
20499.4000 A1416 20 1 55.4000 Street_1 Street_2 299 N Street_1->Street_2
20511.7000 A1404 20 2 223.7000 DENVpatients_0 Street_3 296 N DENVpatients_0->Street_7->Street_3
20541.2000 A1400 20 3 318.2000 Street_4 Avenue_13 294 N Street_4->Avenue_17->Avenue_11->Avenue_13
20659.1000 A1398 20 2 466.1000 Avenue_12 Avenue_16 292 N Avenue_12->Avenue_18->Avenue_16
